2004/06/21 02:32:27 Transaction RollBack
2004/06/21 02:32:27 Start Transaction
2004/06/21 02:32:37 Transaction RollBack
2004/06/21 02:32:37 Start Transaction
2004/06/21 02:32:48 Transaction RollBack
2004/06/21 02:32:48 Start Transaction
2004/06/21 02:32:58 Transaction RollBack
2004/06/21 02:32:58 Start Transaction
2004/06/21 02:33:08 Transaction RollBack
2004/06/21 02:33:08 Start Transaction
2004/06/21 02:33:19 Transaction RollBack
2004/06/21 02:33:19 Start Transaction
2004/06/21 02:33:29 Transaction RollBack
2004/06/21 02:33:29 Start Transaction
2004/06/21 02:33:39 Transaction RollBack
2004/06/21 02:33:39 Start Transaction
2004/06/21 02:33:50 Transaction RollBack
2004/06/21 02:33:50 Start Transaction
2004/06/21 02:34:00 Transaction RollBack
2004/06/21 02:34:00 Start Transaction
2004/06/21 02:34:10 Transaction RollBack
2004/06/21 02:34:10 Start Transaction
2004/06/21 02:34:21 Transaction RollBack
2004/06/21 02:34:21 Start Transaction
2004/06/21 02:34:31 Transaction RollBack
2004/06/21 02:34:31 Start Transaction
2004/06/21 02:34:41 Transaction RollBack
2004/06/21 02:34:41 Start Transaction
2004/06/21 02:34:52 Transaction RollBack
2004/06/21 02:34:52 Start Transaction
2004/06/21 02:35:02 Transaction RollBack
2004/06/21 02:35:02 Start Transaction
2004/06/21 02:35:12 Transaction RollBack
2004/06/21 02:35:12 Start Transaction
2004/06/21 02:35:23 Transaction RollBack
2004/06/21 02:35:23 Start Transaction
2004/06/21 02:35:33 Transaction RollBack
2004/06/21 02:35:33 Start Transaction
2004/06/21 02:35:43 Transaction RollBack
2004/06/21 02:35:43 Start Transaction
2004/06/21 02:35:54 Transaction RollBack
2004/06/21 02:35:54 Start Transaction
2004/06/21 02:36:04 Transaction RollBack
2004/06/21 02:36:04 Start Transaction
2004/06/21 02:36:14 Transaction RollBack
2004/06/21 02:36:14 Start Transaction
2004/06/21 02:36:25 Transaction RollBack
2004/06/21 02:36:25 Start Transaction
2004/06/21 02:36:35 Transaction RollBack
2004/06/21 02:36:35 Start Transaction
2004/06/21 02:36:45 Transaction RollBack
2004/06/21 02:36:45 Start Transaction
2004/06/21 02:36:56 Transaction RollBack
2004/06/21 02:36:56 Start Transaction
2004/06/21 02:37:06 Transaction RollBack
2004/06/21 02:37:06 Start Transaction
2004/06/21 02:37:16 Transaction RollBack
2004/06/21 02:37:16 Start Transaction
2004/06/21 02:37:27 Transaction RollBack
2004/06/21 02:37:27 Start Transaction
2004/06/21 02:37:37 Transaction RollBack
2004/06/21 02:37:37 Start Transaction
2004/06/21 02:37:47 Transaction RollBack
2004/06/21 02:37:47 Start Transaction
2004/06/21 02:37:58 Transaction RollBack
2004/06/21 02:37:58 Start Transaction
2004/06/21 02:38:08 Transaction RollBack
2004/06/21 02:38:08 Start Transaction
2004/06/21 02:38:18 Transaction RollBack
2004/06/21 02:38:18 Start Transaction
2004/06/21 02:38:29 Transaction RollBack
2004/06/21 02:38:29 Start Transaction
2004/06/21 02:38:39 Transaction RollBack
2004/06/21 02:38:39 Start Transaction
2004/06/21 02:38:49 Transaction RollBack
2004/06/21 02:38:49 Start Transaction
2004/06/21 02:39:00 Transaction RollBack
2004/06/21 02:39:00 Start Transaction
2004/06/21 02:39:10 Transaction RollBack
2004/06/21 02:39:10 Start Transaction
2004/06/21 02:39:20 Transaction RollBack
2004/06/21 02:39:21 Start Transaction
2004/06/21 02:39:31 Transaction RollBack
2004/06/21 02:39:31 Start Transaction
2004/06/21 02:39:41 Transaction RollBack
2004/06/21 02:39:41 Start Transaction
2004/06/21 02:39:51 Transaction RollBack
2004/06/21 02:39:52 Start Transaction
2004/06/21 02:40:02 Transaction RollBack
2004/06/21 02:40:02 Start Transaction
2004/06/21 02:40:12 Transaction RollBack
2004/06/21 02:40:12 Start Transaction
2004/06/21 02:40:22 Transaction RollBack
2004/06/21 02:40:23 Start Transaction
2004/06/21 02:40:33 Transaction RollBack
2004/06/21 02:40:33 Start Transaction
2004/06/21 02:40:43 Transaction RollBack
2004/06/21 02:40:43 Start Transaction
2004/06/21 02:40:53 Transaction RollBack
2004/06/21 02:40:54 Start Transaction
2004/06/21 02:41:04 Transaction RollBack
2004/06/21 02:41:04 Start Transaction
2004/06/21 02:41:14 Transaction RollBack
2004/06/21 02:41:14 Start Transaction
2004/06/21 02:41:24 Transaction RollBack
2004/06/21 02:41:25 Start Transaction
2004/06/21 02:41:35 Transaction RollBack
2004/06/21 02:41:35 Start Transaction
2004/06/21 02:41:45 Transaction RollBack
2004/06/21 02:41:45 Start Transaction
2004/06/21 02:41:55 Transaction RollBack
2004/06/21 02:41:56 Start Transaction
2004/06/21 02:42:06 Transaction RollBack
2004/06/21 02:42:06 Start Transaction
2004/06/21 02:42:16 Transaction RollBack
2004/06/21 02:42:16 Start Transaction
2004/06/21 02:42:26 Transaction RollBack
2004/06/21 02:42:27 Start Transaction
2004/06/21 02:42:37 Transaction RollBack
2004/06/21 02:42:37 Start Transaction
2004/06/21 02:42:47 Transaction RollBack
2004/06/21 02:42:47 Start Transaction
2004/06/21 02:42:57 Transaction RollBack
2004/06/21 02:42:58 Start Transaction
2004/06/21 02:43:08 Transaction RollBack
2004/06/21 02:43:08 Start Transaction
2004/06/21 02:43:18 Transaction RollBack
2004/06/21 02:43:18 Start Transaction
2004/06/21 02:43:29 Transaction RollBack
2004/06/21 02:43:29 Start Transaction
2004/06/21 02:43:39 Transaction RollBack
2004/06/21 02:43:39 Start Transaction
2004/06/21 02:43:49 Transaction RollBack
2004/06/21 02:43:49 Start Transaction
2004/06/21 02:44:00 Transaction RollBack
2004/06/21 02:44:00 Start Transaction
2004/06/21 02:44:10 Transaction RollBack
2004/06/21 02:44:10 Start Transaction
2004/06/21 02:44:20 Transaction RollBack
2004/06/21 02:44:20 Start Transaction
2004/06/21 02:44:31 Transaction RollBack
2004/06/21 02:44:31 Start Transaction
2004/06/21 02:44:41 Transaction RollBack
2004/06/21 02:44:41 Start Transaction
2004/06/21 02:44:51 Transaction RollBack
2004/06/21 02:44:51 Start Transaction
2004/06/21 02:45:02 Transaction RollBack
2004/06/21 02:45:02 Start Transaction
2004/06/21 02:45:12 Transaction RollBack
2004/06/21 02:45:12 Start Transaction
2004/06/21 02:45:22 Transaction RollBack
2004/06/21 02:45:22 Start Transaction
2004/06/21 02:45:33 Transaction RollBack
2004/06/21 02:45:33 Start Transaction
2004/06/21 02:45:43 Transaction RollBack
2004/06/21 02:45:43 Start Transaction
2004/06/21 02:45:53 Transaction RollBack
2004/06/21 02:45:53 Start Transaction
2004/06/21 02:46:04 Transaction RollBack
2004/06/21 02:46:04 Start Transaction
2004/06/21 02:46:14 Transaction RollBack
2004/06/21 02:46:14 Start Transaction
2004/06/21 02:46:24 Transaction RollBack
2004/06/21 02:46:24 Start Transaction
2004/06/21 02:46:35 Transaction RollBack
2004/06/21 02:46:35 Start Transaction
2004/06/21 02:46:45 Transaction RollBack
2004/06/21 02:46:45 Start Transaction
2004/06/21 02:46:55 Transaction RollBack
2004/06/21 02:46:55 Start Transaction
2004/06/21 02:47:06 Transaction RollBack
2004/06/21 02:47:06 Start Transaction
2004/06/21 02:47:16 Transaction RollBack
2004/06/21 02:47:16 Start Transaction
2004/06/21 02:47:26 Transaction RollBack
2004/06/21 02:47:26 Start Transaction
2004/06/21 02:47:37 Transaction RollBack
2004/06/21 02:47:37 Start Transaction
2004/06/21 02:47:47 Transaction RollBack
2004/06/21 02:47:47 Start Transaction
2004/06/21 02:47:57 Transaction RollBack
2004/06/21 02:47:57 Start Transaction
2004/06/21 02:48:08 Transaction RollBack
2004/06/21 02:48:08 Start Transaction
2004/06/21 02:48:18 Transaction RollBack
2004/06/21 02:48:18 Start Transaction
2004/06/21 02:48:28 Transaction RollBack
2004/06/21 02:48:28 Start Transaction
2004/06/21 02:48:39 Transaction RollBack
2004/06/21 02:48:39 Start Transaction
2004/06/21 02:48:49 Transaction RollBack
2004/06/21 02:48:49 Start Transaction
2004/06/21 02:48:59 Transaction RollBack
2004/06/21 02:48:59 Start Transaction
2004/06/21 02:49:10 Transaction RollBack
2004/06/21 02:49:10 Start Transaction
2004/06/21 02:49:20 Transaction RollBack
2004/06/21 02:49:20 Start Transaction
2004/06/21 02:49:30 Transaction RollBack
2004/06/21 02:49:30 Start Transaction
2004/06/21 02:49:41 Transaction RollBack
2004/06/21 02:49:41 Start Transaction
2004/06/21 02:49:51 Transaction RollBack
2004/06/21 02:49:51 Start Transaction
2004/06/21 02:50:01 Transaction RollBack
2004/06/21 02:50:01 Start Transaction
2004/06/21 02:50:12 Transaction RollBack
2004/06/21 02:50:12 Start Transaction
2004/06/21 02:50:22 Transaction RollBack
2004/06/21 02:50:22 Start Transaction
2004/06/21 02:50:32 Transaction RollBack
2004/06/21 02:50:32 Start Transaction
2004/06/21 02:50:43 Transaction RollBack
2004/06/21 02:50:43 Start Transaction
2004/06/21 02:50:53 Transaction RollBack
2004/06/21 02:50:53 Start Transaction
2004/06/21 02:51:03 Transaction RollBack
2004/06/21 02:51:03 Start Transaction
2004/06/21 02:51:14 Transaction RollBack
2004/06/21 02:51:14 Start Transaction
2004/06/21 02:51:24 Transaction RollBack
2004/06/21 02:51:24 Start Transaction
2004/06/21 02:51:34 Transaction RollBack
2004/06/21 02:51:34 Start Transaction
2004/06/21 02:51:45 Transaction RollBack
2004/06/21 02:51:45 Start Transaction
2004/06/21 02:51:55 Transaction RollBack
2004/06/21 02:51:55 Start Transaction
2004/06/21 02:52:05 Transaction RollBack
2004/06/21 02:52:05 Start Transaction
2004/06/21 02:52:16 Transaction RollBack
2004/06/21 02:52:16 Start Transaction
2004/06/21 02:52:26 Transaction RollBack
2004/06/21 02:52:26 Start Transaction
2004/06/21 02:52:36 Transaction RollBack
2004/06/21 02:52:36 Start Transaction
2004/06/21 02:52:47 Transaction RollBack
2004/06/21 02:52:47 Start Transaction
2004/06/21 02:52:57 Transaction RollBack
2004/06/21 02:52:57 Start Transaction
2004/06/21 02:53:07 Transaction RollBack
2004/06/21 02:53:07 Start Transaction
2004/06/21 02:53:18 Transaction RollBack
2004/06/21 02:53:18 Start Transaction
2004/06/21 02:53:28 Transaction RollBack
2004/06/21 02:53:28 Start Transaction
2004/06/21 02:53:38 Transaction RollBack
2004/06/21 02:53:38 Start Transaction
2004/06/21 02:53:49 Transaction RollBack
2004/06/21 02:53:49 Start Transaction
2004/06/21 02:53:59 Transaction RollBack
2004/06/21 02:53:59 Start Transaction
2004/06/21 02:54:09 Transaction RollBack
