2004/06/18 10:28:15 Transaction RollBack
2004/06/18 10:28:15 Start Transaction
2004/06/18 10:28:26 Transaction RollBack
2004/06/18 10:28:26 Start Transaction
2004/06/18 10:28:36 Transaction RollBack
2004/06/18 10:28:36 Start Transaction
2004/06/18 10:28:46 Transaction RollBack
2004/06/18 10:28:47 Start Transaction
2004/06/18 10:28:57 Transaction RollBack
2004/06/18 10:28:57 Start Transaction
2004/06/18 10:29:07 Transaction RollBack
2004/06/18 10:29:07 Start Transaction
2004/06/18 10:29:17 Transaction RollBack
2004/06/18 10:29:18 Start Transaction
2004/06/18 10:29:28 Transaction RollBack
2004/06/18 10:29:28 Start Transaction
2004/06/18 10:29:38 Transaction RollBack
2004/06/18 10:29:38 Start Transaction
2004/06/18 10:29:48 Transaction RollBack
2004/06/18 10:29:49 Start Transaction
2004/06/18 10:29:59 Transaction RollBack
2004/06/18 10:29:59 Start Transaction
2004/06/18 10:30:09 Transaction RollBack
2004/06/18 10:30:09 Start Transaction
2004/06/18 10:30:20 Transaction RollBack
2004/06/18 10:30:20 Start Transaction
2004/06/18 10:30:30 Transaction RollBack
2004/06/18 10:30:30 Start Transaction
2004/06/18 10:30:40 Transaction RollBack
2004/06/18 10:30:40 Start Transaction
2004/06/18 10:30:51 Transaction RollBack
2004/06/18 10:30:51 Start Transaction
2004/06/18 10:31:01 Transaction RollBack
2004/06/18 10:31:01 Start Transaction
2004/06/18 10:31:11 Transaction RollBack
2004/06/18 10:31:11 Start Transaction
2004/06/18 10:31:22 Transaction RollBack
2004/06/18 10:31:22 Start Transaction
2004/06/18 10:31:32 Transaction RollBack
2004/06/18 10:31:32 Start Transaction
2004/06/18 10:31:42 Transaction RollBack
2004/06/18 10:31:42 Start Transaction
2004/06/18 10:31:53 Transaction RollBack
2004/06/18 10:31:53 Start Transaction
2004/06/18 10:32:03 Transaction RollBack
2004/06/18 10:32:03 Start Transaction
2004/06/18 10:32:13 Transaction RollBack
2004/06/18 10:32:13 Start Transaction
2004/06/18 10:32:24 Transaction RollBack
2004/06/18 10:32:24 Start Transaction
2004/06/18 10:32:34 Transaction RollBack
2004/06/18 10:32:34 Start Transaction
2004/06/18 10:32:44 Transaction RollBack
2004/06/18 10:32:44 Start Transaction
2004/06/18 10:32:55 Transaction RollBack
2004/06/18 10:32:55 Start Transaction
2004/06/18 10:33:05 Transaction RollBack
2004/06/18 10:33:05 Start Transaction
2004/06/18 10:33:15 Transaction RollBack
2004/06/18 10:33:15 Start Transaction
2004/06/18 10:33:26 Transaction RollBack
2004/06/18 10:33:26 Start Transaction
2004/06/18 10:33:36 Transaction RollBack
2004/06/18 10:33:36 Start Transaction
2004/06/18 10:33:46 Transaction RollBack
2004/06/18 10:33:46 Start Transaction
2004/06/18 10:33:57 Transaction RollBack
2004/06/18 10:33:57 Start Transaction
2004/06/18 10:34:07 Transaction RollBack
2004/06/18 10:34:07 Start Transaction
2004/06/18 10:34:17 Transaction RollBack
2004/06/18 10:34:18 Start Transaction
2004/06/18 10:34:28 Transaction RollBack
2004/06/18 10:34:28 Start Transaction
2004/06/18 10:34:38 Transaction RollBack
2004/06/18 10:34:38 Start Transaction
2004/06/18 10:34:49 Transaction RollBack
2004/06/18 10:34:49 Start Transaction
2004/06/18 10:34:59 Transaction RollBack
2004/06/18 10:34:59 Start Transaction
2004/06/18 10:35:09 Transaction RollBack
2004/06/18 10:35:09 Start Transaction
2004/06/18 10:35:20 Transaction RollBack
2004/06/18 10:35:20 Start Transaction
2004/06/18 10:35:30 Transaction RollBack
2004/06/18 10:35:30 Start Transaction
2004/06/18 10:35:40 Transaction RollBack
2004/06/18 10:35:40 Start Transaction
2004/06/18 10:35:51 Transaction RollBack
2004/06/18 10:35:51 Start Transaction
2004/06/18 10:36:01 Transaction RollBack
2004/06/18 10:36:01 Start Transaction
2004/06/18 10:36:11 Transaction RollBack
2004/06/18 10:36:11 Start Transaction
2004/06/18 10:36:22 Transaction RollBack
2004/06/18 10:36:22 Start Transaction
2004/06/18 10:36:32 Transaction RollBack
2004/06/18 10:36:32 Start Transaction
2004/06/18 10:36:42 Transaction RollBack
2004/06/18 10:36:42 Start Transaction
2004/06/18 10:36:53 Transaction RollBack
2004/06/18 10:36:53 Start Transaction
2004/06/18 10:37:03 Transaction RollBack
2004/06/18 10:37:03 Start Transaction
2004/06/18 10:37:13 Transaction RollBack
2004/06/18 10:37:13 Start Transaction
2004/06/18 10:37:24 Transaction RollBack
2004/06/18 10:37:24 Start Transaction
2004/06/18 10:37:34 Transaction RollBack
2004/06/18 10:37:34 Start Transaction
2004/06/18 10:37:44 Transaction RollBack
